GSvolume_pa_composition_average,ML pred ASR barrier (eV),IsFBlock_composition_average,IsRareEarth_composition_average,CovalentRadii_composition_average,NdUnfilled_composition_average,ICSDVolume_composition_average,BCCfermi_composition_average,AtomicVolume_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,valence_composition_average,GSenergy_pa_composition_average,phi_difference,HHIr_composition_average,HeatFusion_composition_average,HHIr_arithmetic_average,HeatFusion_arithmetic_average,CovalentRadius_composition_average,ElectricalConductivity_composition_average,phi_arithmetic_average,ElectricalConductivity_difference,Electrolyte class_2,BCCenergy_pa_composition_average,ThermalConductivity_arithmetic_average,HeatCapacityMolar_composition_average
19.52683673469388,1.134531099,0.0,0.0,1.0514285714285714,0.7142857142857142,24.559183673469384,3.416132312653061,3739.588361359413,166.54,2.3673469387755097,-4.821274933775509,2.78,1351.020408163265,4.93265306122449,3140.0,13.47,106.63265306122447,3.663265306122448,3.28,15.099999999999998,0.0,-3.4005947934693874,50.51348,28.213061224489795
21.98483333333333,1.258738249,0.0,0.0,1.112888888888889,0.7666666666666666,26.608888888888888,3.415814430555556,3745.731015769601,167.4,2.2444444444444445,-4.591348627722223,2.78,1465.5555555555557,5.201177777777778,3200.0,9.7492,113.66666666666666,4.046666666666666,2.964,17.0,0.0,-3.2928784827777777,28.46748,28.095888888888886
20.068800000000003,1.263385158,0.0,0.0,1.0656,0.8,25.093,3.4673047528,4677.970250109028,208.675,2.8,-4.89612454005,2.61,1032.0,4.332199999999999,1425.0,7.422499999999999,108.61,3.085,2.45,28.5,0.0,-3.5176896595,74.71685000000001,28.23939
20.2041,1.086717546,0.0,0.0,1.0683,0.76,25.237,3.4867724948000003,3747.5927317193,173.36,2.77,-4.839937716050001,2.61,1038.0,4.227009999999999,1540.0,6.5962,108.71,3.007,2.74,28.5,0.0,-3.4613738671000003,76.09347999999999,28.25579
22.978,1.44558847,0.1,0.1,1.116,1.3,27.55,3.174698026,4675.932078652993,204.4,2.6,-4.544984996,2.61,1210.0,3.483,1825.0,6.6525,116.2,1.82,2.6075,9.8,0.0,-3.154622002,27.56685,28.4448
19.476020408163265,1.082027388,0.0,0.0,1.0506122448979591,0.693877551020408,24.50612244897959,3.49236039,3739.088110900911,166.04,2.387755102040816,-4.836637918265305,2.78,1279.5918367346935,5.085306122448979,2440.0,14.966,106.42857142857142,3.881632653061224,3.4,15.099999999999998,0.0,-3.4159577779591834,67.37347999999999,28.20204081632653
20.4178,1.27479556,0.0,0.0,1.0702,0.72,25.336,3.386024054,3739.588361359413,166.54,2.42,-4.7874217846,2.78,1344.0,4.928599999999999,3140.0,13.47,108.92,3.512,3.28,15.099999999999998,0.0,-3.3971612986000004,50.51348,28.216
20.4081,1.17159768,0.0,0.0,1.07,0.7,25.324,3.3798024801999995,3739.588361359413,166.54,2.3600000000000003,-4.7633198803,2.78,1370.0,4.976399999999999,3140.0,13.47,108.8,3.646,3.28,15.099999999999998,0.0,-3.3710533428,50.51348,28.2102
20.4081,1.245413458,0.0,0.0,1.07,0.7,25.324,3.3798024801999995,3739.588361359413,166.54,2.3600000000000003,-4.7633198803,2.78,1370.0,4.976399999999999,3140.0,13.47,108.8,3.646,3.28,15.099999999999998,1.0,-3.3710533428,50.51348,28.2102
20.44318,1.242322278,0.0,0.0,1.07092,0.7399999999999999,25.4072,3.37880082916,3740.989796947069,167.08,2.332,-4.6951635965800005,2.78,1271.6,4.65724,2280.0,10.29,108.768,3.5827999999999998,3.12,16.4,0.0,-3.3010823082,42.93348,28.22692
